sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
716,Wallace Johnson,BOTH,72,173,0.255,5,0.416184971,1,MODERATE
717,Mike Kinnunen,LEFT,73,185,0,0,0.394594595,1,MODERATE
718,Eddie Leon,RIGHT,72,170,0.236,24,0.423529412,1,MODERATE
719,Dave Rajsich,LEFT,77,175,0,0,0.44,2,LEAN
720,Jim Wohlford,RIGHT,71,175,0.26,21,0.405714286,1,MODERATE
721,J.R. Richard,RIGHT,80,222,0.168,10,0.36036036,0,HEAVY
722,Bill Voss,LEFT,74,160,0.227,19,0.4625,2,LEAN
723,Keith Moreland,RIGHT,72,190,0.279,121,0.378947368,0,HEAVY
724,Ramon Pena,RIGHT,70,155,0,0,0.451612903,2,LEAN
725,Alex Johnson,RIGHT,72,205,0.288,78,0.351219512,0,HEAVY
726,Wayne Krenchicki,LEFT,73,180,0.266,15,0.405555556,1,MODERATE
727,Chico Escarrega,RIGHT,71,185,0,0,0.383783784,1,MODERATE
728,Dave Rosello,RIGHT,71,160,0.236,10,0.44375,2,LEAN
729,Cardell Camper,RIGHT,75,208,0,0,0.360576923,0,HEAVY
730,Paul Schaal,RIGHT,71,165,0.244,57,0.43030303,1,MODERATE
731,Tito Landrum,RIGHT,71,175,0.249,13,0.405714286,1,MODERATE
732,Dave Edwards,RIGHT,72,170,0.237,14,0.423529412,1,MODERATE
733,Mario Guerrero,RIGHT,70,155,0.257,7,0.451612903,2,LEAN
734,Tom Tresh,BOTH,73,180,0.245,153,0.405555556,1,MODERATE
735,Mike Overy,RIGHT,74,190,0,0,0.389473684,1,MODERATE
736,Ron Roenicke,BOTH,72,180,0.238,17,0.4,1,MODERATE
737,Doug Griffin,RIGHT,72,160,0.245,7,0.45,2,LEAN
738,Steve Blass,RIGHT,72,165,0.172,1,0.436363636,2,LEAN
739,Johnnie LeMaster,RIGHT,74,165,0.222,22,0.448484848,2,LEAN
740,Craig Chamberlain,RIGHT,73,190,0,0,0.384210526,1,MODERATE
741,Nate Oliver,RIGHT,70,160,0.226,2,0.4375,2,LEAN
742,Ray Sadecki,LEFT,71,180,0.191,5,0.394444444,1,MODERATE
743,Ken Rudolph,RIGHT,73,180,0.213,6,0.405555556,1,MODERATE
744,Wayne Nordhagen,RIGHT,74,205,0.282,39,0.36097561,0,HEAVY
745,Biff Pocoroba,BOTH,70,175,0.257,21,0.4,1,MODERATE
746,Len Matuszek,LEFT,74,190,0.234,30,0.389473684,1,MODERATE
747,Frank Eufemia,RIGHT,71,185,0,0,0.383783784,1,MODERATE
748,Joe Lefebvre,LEFT,70,170,0.258,31,0.411764706,1,MODERATE
749,Jim Maloney,LEFT,74,190,0.201,7,0.389473684,1,MODERATE
750,Andre Robertson,RIGHT,70,155,0.251,5,0.451612903,2,LEAN
751,Jerry Zimmerman,RIGHT,74,185,0.204,3,0.4,1,MODERATE
752,Jack Lazorko,RIGHT,71,200,0,0,0.355,0,HEAVY
753,Mike Paxton,RIGHT,71,190,0,0,0.373684211,0,HEAVY
754,Chet Lemon,RIGHT,72,190,0.273,215,0.378947368,0,HEAVY
755,Rickey Keeton,RIGHT,74,190,0,0,0.389473684,1,MODERATE
756,Phil Mankowski,LEFT,72,180,0.264,8,0.4,1,MODERATE
757,Cleon Jones,RIGHT,72,185,0.281,93,0.389189189,1,MODERATE
758,Joaquin Andujar,BOTH,72,170,0.127,5,0.423529412,1,MODERATE
759,Mike Lum,LEFT,72,180,0.247,90,0.4,1,MODERATE
760,Johnny Grubb,LEFT,75,175,0.278,99,0.428571429,1,MODERATE
761,Curt Motton,RIGHT,68,164,0.213,25,0.414634146,1,MODERATE
762,Johnny Bench,RIGHT,73,197,0.267,389,0.370558376,0,HEAVY
763,Dale Berra,RIGHT,72,180,0.236,49,0.4,1,MODERATE
764,Terry Felton,RIGHT,73,180,0,0,0.405555556,1,MODERATE
765,Bob Meacham,BOTH,73,175,0.236,8,0.417142857,1,MODERATE
766,Mark Clear,RIGHT,76,200,0,0,0.38,1,MODERATE
767,Carl Warwick,RIGHT,70,170,0.248,31,0.411764706,1,MODERATE
768,Sam Bowens,RIGHT,73,188,0.223,45,0.388297872,1,MODERATE
769,George Wright,BOTH,71,180,0.245,42,0.394444444,1,MODERATE
770,Luis Aguayo,RIGHT,69,173,0.236,37,0.398843931,1,MODERATE
771,Hal Lanier,RIGHT,74,180,0.228,8,0.411111111,1,MODERATE
772,Mike Pazik,LEFT,74,195,0,0,0.379487179,1,MODERATE
773,Len Randle,BOTH,70,169,0.257,27,0.414201183,1,MODERATE
774,Greg Pryor,RIGHT,72,180,0.25,14,0.4,1,MODERATE
775,Jim Traber,LEFT,72,194,0.227,27,0.371134021,0,HEAVY
776,Dave Nelson,RIGHT,70,160,0.244,20,0.4375,2,LEAN
777,Lynn Jones,RIGHT,69,175,0.252,7,0.394285714,1,MODERATE
778,Bryan Little,BOTH,70,160,0.245,3,0.4375,2,LEAN
779,Ken Suarez,RIGHT,69,175,0.227,5,0.394285714,1,MODERATE
780,Rick Peters,BOTH,69,170,0.277,2,0.405882353,1,MODERATE
781,Ron Stone,LEFT,74,185,0.241,6,0.4,1,MODERATE
782,Rich Barnes,RIGHT,76,186,0,0,0.408602151,1,MODERATE
783,Tommie Agee,RIGHT,71,195,0.255,130,0.364102564,0,HEAVY
784,Bob Bailey,RIGHT,73,180,0.257,189,0.405555556,1,MODERATE
785,Cap Peterson,RIGHT,74,195,0.23,19,0.379487179,1,MODERATE
786,Ted Uhlaender,LEFT,74,190,0.263,36,0.389473684,1,MODERATE
787,Ted Simmons,BOTH,71,193,0.285,248,0.367875648,0,HEAVY
788,Bobby Murcer,LEFT,71,160,0.277,252,0.44375,2,LEAN
789,Dick Tracewski,RIGHT,71,160,0.213,8,0.44375,2,LEAN
790,Dave Frost,RIGHT,78,235,0,0,0.331914894,0,HEAVY
791,Mark Souza,LEFT,72,180,0,0,0.4,1,MODERATE
792,Bill Nahorodny,RIGHT,74,200,0.241,25,0.37,0,HEAVY
793,Bill Madlock,RIGHT,71,180,0.305,163,0.394444444,1,MODERATE
794,Bob Boone,RIGHT,74,195,0.254,105,0.379487179,1,MODERATE
795,Rick Jones,LEFT,77,190,0,0,0.405263158,1,MODERATE
796,Steve Kemp,LEFT,72,195,0.278,130,0.369230769,0,HEAVY
797,Rick Burleson,RIGHT,70,165,0.273,50,0.424242424,1,MODERATE
798,Jim Dorsey,RIGHT,79,190,0,0,0.415789474,1,MODERATE
799,Mark Ciardi,RIGHT,72,180,0,0,0.4,1,MODERATE
800,Dennis Burtt,RIGHT,72,180,0,0,0.4,1,MODERATE
801,Carl Taylor,RIGHT,74,200,0.266,10,0.37,0,HEAVY
802,Terry Harmon,RIGHT,74,180,0.233,4,0.411111111,1,MODERATE
803,Mike Hargrove,LEFT,72,195,0.29,80,0.369230769,0,HEAVY
804,Rich Yett,RIGHT,74,187,0,0,0.395721925,1,MODERATE
805,Steve Hovley,LEFT,70,188,0.258,8,0.372340426,0,HEAVY
806,Don Leppert,RIGHT,74,220,0.229,15,0.336363636,0,HEAVY
807,Matt Williams,RIGHT,73,200,0,0,0.365,0,HEAVY
808,Jim Burton,RIGHT,75,195,0,0,0.384615385,1,MODERATE
809,Rick Anderson,RIGHT,74,210,0,0,0.352380952,0,HEAVY
810,Charlie Mitchell,RIGHT,75,170,0,0,0.441176471,2,LEAN
811,Bill Paschall,RIGHT,72,175,0,0,0.411428571,1,MODERATE
812,John Bohnet,BOTH,72,175,0,0,0.411428571,1,MODERATE
813,Byron McLaughlin,RIGHT,73,175,0,0,0.417142857,1,MODERATE
814,Lee May,RIGHT,75,195,0.267,354,0.384615385,1,MODERATE
815,Luis Quintana,LEFT,74,175,0,0,0.422857143,1,MODERATE
816,Sam McDowell,LEFT,77,190,0.154,2,0.405263158,1,MODERATE
817,Rick Renick,RIGHT,72,188,0.221,20,0.382978723,1,MODERATE
818,Jeff Torborg,RIGHT,72,195,0.214,8,0.369230769,0,HEAVY
819,Dave Campbell,RIGHT,73,180,0.213,20,0.405555556,1,MODERATE
820,Pat Kelly,LEFT,73,185,0.264,76,0.394594595,1,MODERATE
821,Al Weis,BOTH,72,160,0.219,7,0.45,2,LEAN
822,Jerry Turner,LEFT,69,180,0.257,45,0.383333333,1,MODERATE
823,Rick Auerbach,RIGHT,72,165,0.22,9,0.436363636,2,LEAN
824,Keith Macwhorter,RIGHT,76,190,0,0,0.4,1,MODERATE
825,Don Wilson,RIGHT,74,195,0.146,1,0.379487179,1,MODERATE
826,Jaime Cocanower,RIGHT,76,200,0,0,0.38,1,MODERATE
827,Jeff Sellers,RIGHT,73,175,0,0,0.417142857,1,MODERATE
828,Sandy Valdespino,LEFT,68,170,0.23,7,0.4,1,MODERATE
829,Steve Senteney,RIGHT,74,205,0,0,0.36097561,0,HEAVY
830,Howard Bailey,RIGHT,72,195,0,0,0.369230769,0,HEAVY
831,Jeff Bettendorf,RIGHT,75,180,0,0,0.416666667,1,MODERATE
832,Ken Phelps,LEFT,73,209,0.239,123,0.349282297,0,HEAVY
833,Cesar Cedeno,RIGHT,74,175,0.285,199,0.422857143,1,MODERATE
834,Bob Davidson,RIGHT,72,185,0,0,0.389189189,1,MODERATE
835,Phil Linz,RIGHT,73,180,0.235,11,0.405555556,1,MODERATE
836,Manny Mota,RIGHT,70,160,0.304,31,0.4375,2,LEAN
837,Brian Snyder,LEFT,75,185,0,0,0.405405405,1,MODERATE
838,Steve Renko,RIGHT,77,230,0.215,6,0.334782609,0,HEAVY
839,Rick Sofield,LEFT,73,195,0.243,9,0.374358974,0,HEAVY
840,Carlos Velazquez,RIGHT,71,180,0,0,0.394444444,1,MODERATE
841,Roger Miller,RIGHT,75,200,0,0,0.375,0,HEAVY
842,Doug DeCinces,RIGHT,74,190,0.259,237,0.389473684,1,MODERATE
843,John Castino,RIGHT,71,175,0.278,41,0.405714286,1,MODERATE
844,Dave May,LEFT,70,186,0.251,96,0.376344086,0,HEAVY
845,Ron Washington,RIGHT,71,155,0.261,20,0.458064516,2,LEAN
846,Billy Grabarkewitz,RIGHT,70,165,0.236,28,0.424242424,1,MODERATE
847,Willie Aikens,LEFT,75,220,0.271,110,0.340909091,0,HEAVY
848,Earl Williams,RIGHT,75,215,0.247,138,0.348837209,0,HEAVY
849,Willie Mueller,RIGHT,76,220,0,0,0.345454545,0,HEAVY
850,John Flinn,RIGHT,72,175,0,0,0.411428571,1,MODERATE
851,Don Hahn,RIGHT,73,180,0.236,7,0.405555556,1,MODERATE
852,Todd Cruz,RIGHT,72,175,0.22,34,0.411428571,1,MODERATE
853,Tom Egan,RIGHT,76,218,0.2,22,0.348623853,0,HEAVY
854,Bob Heise,RIGHT,72,175,0.247,1,0.411428571,1,MODERATE
855,Tommy Harper,RIGHT,69,165,0.257,146,0.418181818,1,MODERATE
856,Joe Wallis,BOTH,71,180,0.244,16,0.394444444,1,MODERATE
857,Max Alvis,RIGHT,71,185,0.247,111,0.383783784,1,MODERATE
858,Rico Carty,RIGHT,75,200,0.299,204,0.375,0,HEAVY
859,Mike Cubbage,LEFT,72,180,0.258,34,0.4,1,MODERATE
860,Les Straker,RIGHT,73,193,0,0,0.378238342,0,HEAVY
861,Merritt Ranew,LEFT,71,170,0.247,8,0.417647059,1,MODERATE
862,Lyman Bostock,LEFT,73,180,0.311,23,0.405555556,1,MODERATE
863,Damaso Garcia,RIGHT,73,165,0.283,36,0.442424242,2,LEAN
864,Don Kainer,RIGHT,75,205,0,0,0.365853659,0,HEAVY
865,Don Gordon,RIGHT,73,175,0,0,0.417142857,1,MODERATE
866,Roy Howell,LEFT,73,190,0.261,80,0.384210526,1,MODERATE
867,Boog Powell,LEFT,76,230,0.266,339,0.330434783,0,HEAVY
868,Sandy Wihtol,RIGHT,73,195,0,0,0.374358974,0,HEAVY
869,Sonny Siebert,RIGHT,75,190,0.173,12,0.394736842,1,MODERATE
870,Jeff Richardson,RIGHT,75,185,0,0,0.405405405,1,MODERATE
871,Bobby Darwin,RIGHT,74,190,0.251,83,0.389473684,1,MODERATE
872,Dennis DeBarr,LEFT,74,190,0,0,0.389473684,1,MODERATE
873,Dan Driessen,LEFT,71,187,0.267,153,0.379679144,1,MODERATE
874,Bruce Miller,RIGHT,73,185,0.246,1,0.394594595,1,MODERATE
875,Bob Bailor,RIGHT,71,170,0.264,9,0.417647059,1,MODERATE
876,Tommy Helms,RIGHT,70,165,0.269,34,0.424242424,1,MODERATE
877,Tony Armas,RIGHT,71,182,0.252,251,0.39010989,1,MODERATE
878,Willie Horton,RIGHT,71,209,0.273,325,0.339712919,0,HEAVY
879,Lou Piniella,RIGHT,72,182,0.291,102,0.395604396,1,MODERATE
880,Butch Hobson,RIGHT,73,193,0.248,98,0.378238342,0,HEAVY
881,John Wathan,RIGHT,74,205,0.262,21,0.36097561,0,HEAVY
882,Hal King,LEFT,73,200,0.214,24,0.365,0,HEAVY
883,Mike Krukow,RIGHT,77,205,0.193,5,0.375609756,0,HEAVY
884,Andres Mora,RIGHT,72,180,0.223,27,0.4,1,MODERATE
885,Barry Foote,RIGHT,75,205,0.23,57,0.365853659,0,HEAVY
886,Ed Ott,LEFT,70,190,0.259,33,0.368421053,0,HEAVY
887,Alan Wiggins,BOTH,74,160,0.259,5,0.4625,2,LEAN
888,Ron Clark,RIGHT,70,175,0.189,5,0.4,1,MODERATE
889,Jay Pettibone,RIGHT,76,182,0,0,0.417582418,1,MODERATE
890,Glen Cook,RIGHT,71,180,0,0,0.394444444,1,MODERATE
891,Julio Gotay,RIGHT,72,180,0.26,6,0.4,1,MODERATE
892,Gary Alexander,RIGHT,74,195,0.23,55,0.379487179,1,MODERATE
893,Andre Thornton,RIGHT,75,200,0.254,253,0.375,0,HEAVY
894,Bob Oliver,RIGHT,75,205,0.256,94,0.365853659,0,HEAVY
895,Bill Castro,RIGHT,71,170,0,0,0.417647059,1,MODERATE
896,Ed Hodge,LEFT,74,192,0,0,0.385416667,1,MODERATE
897,Tom Buskey,RIGHT,75,200,0,0,0.375,0,HEAVY
898,Bruce Taylor,RIGHT,72,178,0,0,0.404494382,1,MODERATE
899,Stan Thomas,RIGHT,74,185,0,0,0.4,1,MODERATE
900,Bob Robertson,RIGHT,73,195,0.242,115,0.374358974,0,HEAVY
901,Larry Monroe,RIGHT,76,200,0,0,0.38,1,MODERATE
902,Roger Slagle,RIGHT,75,190,0,0,0.394736842,1,MODERATE
903,Ollie Brown,RIGHT,74,178,0.265,102,0.415730337,1,MODERATE
904,Jim Campbell,LEFT,71,175,0,0,0.405714286,1,MODERATE
905,Frank Quilici,RIGHT,73,170,0.214,5,0.429411765,1,MODERATE
906,Curt Kaufman,RIGHT,74,175,0,0,0.422857143,1,MODERATE
907,Joe Pepitone,LEFT,74,185,0.258,219,0.4,1,MODERATE
908,Steve Barber,LEFT,72,195,0.115,5,0.369230769,0,HEAVY
909,De Wayne Vaughn,RIGHT,71,180,0,0,0.394444444,1,MODERATE
910,Norm Miller,LEFT,70,185,0.238,24,0.378378378,0,HEAVY
911,Bob Galasso,LEFT,73,205,0,0,0.356097561,0,HEAVY
912,Rich Wortham,RIGHT,72,185,0,0,0.389189189,1,MODERATE
913,Bob Chance,LEFT,74,196,0.261,24,0.37755102,0,HEAVY
914,Julio Cruz,BOTH,69,165,0.237,23,0.418181818,1,MODERATE
915,Bill Sample,RIGHT,69,175,0.272,46,0.394285714,1,MODERATE
916,Juan Nieves,LEFT,75,175,0,0,0.428571429,1,MODERATE
917,Mike Bacsik,RIGHT,74,180,0,0,0.411111111,1,MODERATE
918,Craig Kusick,RIGHT,75,210,0.235,46,0.357142857,0,HEAVY
919,Rudy Meoli,LEFT,69,165,0.212,2,0.418181818,1,MODERATE
920,Ruppert Jones,LEFT,70,170,0.25,147,0.411764706,1,MODERATE
921,Glenn Hoffman,RIGHT,73,175,0.242,23,0.417142857,1,MODERATE
922,Russ Gibson,RIGHT,73,195,0.228,8,0.374358974,0,HEAVY
923,Phil Huffman,RIGHT,74,180,0,0,0.411111111,1,MODERATE
924,Terry Francona,LEFT,73,190,0.274,16,0.384210526,1,MODERATE
925,John Bateman,RIGHT,75,210,0.23,81,0.357142857,0,HEAVY
926,Luis Pujols,RIGHT,74,175,0.193,6,0.422857143,1,MODERATE
927,Joe Gaines,RIGHT,73,190,0.241,21,0.384210526,1,MODERATE
928,Doug Rader,RIGHT,74,208,0.251,155,0.355769231,0,HEAVY
929,Mickey Stanley,RIGHT,73,185,0.248,117,0.394594595,1,MODERATE
930,Steve Brown,RIGHT,77,200,0,0,0.385,1,MODERATE
931,Rick Lysander,RIGHT,74,190,0,0,0.389473684,1,MODERATE
932,Phil Bradley,RIGHT,72,185,0.286,78,0.389189189,1,MODERATE
933,Winston Llenas,RIGHT,70,165,0.23,3,0.424242424,1,MODERATE
934,Charlie Moore,RIGHT,71,180,0.261,36,0.394444444,1,MODERATE
935,Ralph Garr,LEFT,71,185,0.306,75,0.383783784,1,MODERATE
936,Tommy John,RIGHT,75,180,0.157,5,0.416666667,1,MODERATE
937,Bruce Benedict,RIGHT,73,175,0.242,18,0.417142857,1,MODERATE
938,John Ellis,RIGHT,74,225,0.262,69,0.328888889,0,HEAVY
939,Wes Parker,BOTH,73,180,0.267,64,0.405555556,1,MODERATE
940,Mel Stottlemyre,RIGHT,72,190,0,0,0.378947368,0,HEAVY
941,David Green,RIGHT,75,170,0.268,31,0.441176471,2,LEAN
942,Reid Nichols,RIGHT,71,165,0.266,22,0.43030303,1,MODERATE
943,Rick Reichardt,RIGHT,75,210,0.261,116,0.357142857,0,HEAVY
944,Luis Tiant,RIGHT,72,180,0.164,5,0.4,1,MODERATE
945,Alex Sanchez,RIGHT,74,185,0,0,0.4,1,MODERATE
946,Broderick Perkins,LEFT,70,180,0.271,8,0.388888889,1,MODERATE
947,Leon Roberts,RIGHT,75,200,0.267,78,0.375,0,HEAVY
948,Ray Burris,RIGHT,77,200,0.151,1,0.385,1,MODERATE
949,Len Gabrielson,LEFT,76,210,0.253,37,0.361904762,0,HEAVY
950,Johnny Edwards,LEFT,76,220,0.242,81,0.345454545,0,HEAVY
951,Paul Wilmet,RIGHT,71,170,0,0,0.417647059,1,MODERATE
952,Tom Grieve,RIGHT,74,190,0.249,65,0.389473684,1,MODERATE
953,Bruce Ellingsen,LEFT,72,180,0,0,0.4,1,MODERATE
954,Bob Forsch,RIGHT,76,200,0.213,12,0.38,1,MODERATE
955,Gorman Heimueller,LEFT,76,195,0,0,0.38974359,1,MODERATE
956,Danny Cater,RIGHT,72,170,0.276,66,0.423529412,1,MODERATE
957,Bill Schroeder,RIGHT,74,200,0.24,61,0.37,0,HEAVY
958,Clay Dalrymple,LEFT,72,190,0.233,55,0.378947368,0,HEAVY
959,Carlos May,LEFT,71,200,0.274,90,0.355,0,HEAVY
960,Reggie Smith,BOTH,72,180,0.287,314,0.4,1,MODERATE
961,Ron Reed,RIGHT,78,215,0.158,0,0.362790698,0,HEAVY
962,Fred Howard,RIGHT,75,190,0,0,0.394736842,1,MODERATE
963,Davey Johnson,RIGHT,73,170,0.261,136,0.429411765,1,MODERATE
964,Ellis Valentine,RIGHT,76,205,0.278,123,0.370731707,0,HEAVY
965,Roy White,BOTH,70,160,0.271,160,0.4375,2,LEAN
966,Mike Brumley,LEFT,70,195,0.229,5,0.358974359,0,HEAVY
967,Al Luplow,LEFT,70,175,0.235,33,0.4,1,MODERATE
968,John Hoover,RIGHT,74,190,0,0,0.389473684,1,MODERATE
969,Dick Allen,RIGHT,71,187,0.292,351,0.379679144,1,MODERATE
970,Doug Ault,RIGHT,75,200,0.236,17,0.375,0,HEAVY
971,Mark Wagner,RIGHT,72,165,0.243,3,0.436363636,2,LEAN
972,Mike Walters,RIGHT,77,203,0,0,0.379310345,0,HEAVY
973,Willie Stargell,LEFT,74,188,0.282,475,0.393617021,1,MODERATE
974,Steve Carlton,LEFT,76,210,0.201,13,0.361904762,0,HEAVY
975,Jake Wood,RIGHT,73,163,0.25,35,0.447852761,2,LEAN
976,Del Unser,LEFT,73,180,0.258,87,0.405555556,1,MODERATE
977,Bob Brower,RIGHT,71,185,0.242,17,0.383783784,1,MODERATE
978,Ray Culp,RIGHT,72,200,0.123,1,0.36,0,HEAVY
979,Ivan Murrell,RIGHT,74,195,0.236,33,0.379487179,1,MODERATE
980,Lee Mazzilli,BOTH,73,180,0.259,93,0.405555556,1,MODERATE
981,Garth Iorg,RIGHT,71,170,0.258,20,0.417647059,1,MODERATE
982,Alan Ashby,BOTH,74,185,0.245,90,0.4,1,MODERATE
983,Bob Brenly,RIGHT,74,210,0.247,91,0.352380952,0,HEAVY
984,Ron Blomberg,LEFT,73,195,0.293,52,0.374358974,0,HEAVY
985,Jim Rooker,RIGHT,72,195,0.201,7,0.369230769,0,HEAVY
986,Tim Blackwell,BOTH,71,170,0.228,6,0.417647059,1,MODERATE
987,Colby Ward,RIGHT,74,185,0,0,0.4,1,MODERATE
988,Jerry Morales,RIGHT,70,155,0.259,95,0.451612903,2,LEAN
989,Davey Lopes,RIGHT,69,170,0.263,155,0.405882353,1,MODERATE
990,Catfish Hunter,RIGHT,72,190,0.226,6,0.378947368,0,HEAVY
991,Mario Soto,RIGHT,72,174,0.132,1,0.413793103,1,MODERATE
992,Jimmy Wynn,RIGHT,70,160,0.25,291,0.4375,2,LEAN
993,Hank Allen,RIGHT,72,190,0.241,6,0.378947368,0,HEAVY
994,Jim Fregosi,RIGHT,73,190,0.265,151,0.384210526,1,MODERATE
995,Pepe Frias,RIGHT,70,159,0.24,1,0.440251572,2,LEAN
996,Mike Schmidt,RIGHT,74,195,0.267,548,0.379487179,1,MODERATE
997,Willie Montanez,LEFT,72,170,0.275,139,0.423529412,1,MODERATE
998,Rey Quinones,RIGHT,71,160,0.243,29,0.44375,2,LEAN
999,Mike Squires,LEFT,71,185,0.26,6,0.383783784,1,MODERATE
1000,Champ Summers,LEFT,74,205,0.255,54,0.36097561,0,HEAVY
1001,Chuck Porter,RIGHT,75,187,0,0,0.401069519,1,MODERATE
1002,Bert Campaneris,RIGHT,70,160,0.259,79,0.4375,2,LEAN
1003,Bobby Valentine,RIGHT,70,189,0.26,12,0.37037037,0,HEAVY
1004,Rob Andrews,RIGHT,72,185,0.251,3,0.389189189,1,MODERATE
1005,Tom Haller,LEFT,76,195,0.257,134,0.38974359,1,MODERATE
1006,Tom Dozier,RIGHT,74,190,0,0,0.389473684,1,MODERATE
1007,Ed Stroud,LEFT,71,180,0.237,14,0.394444444,1,MODERATE
1008,Ron Swoboda,RIGHT,74,195,0.242,73,0.379487179,1,MODERATE
1009,Harry Spilman,LEFT,73,180,0.237,18,0.405555556,1,MODERATE
1010,Bob Barton,RIGHT,72,175,0.226,9,0.411428571,1,MODERATE
1011,Daryl Sconiers,LEFT,74,185,0.265,15,0.4,1,MODERATE
1012,Joe Torre,RIGHT,74,212,0.297,252,0.349056604,0,HEAVY
1013,Al Ferrara,RIGHT,73,200,0.259,51,0.365,0,HEAVY
1014,Rick Steirer,RIGHT,76,200,0,0,0.38,1,MODERATE
1015,Sixto Lezcano,RIGHT,70,165,0.271,148,0.424242424,1,MODERATE
1016,Al Lachowicz,RIGHT,75,198,0,0,0.378787879,0,HEAVY
1017,Dave Nicholson,RIGHT,74,215,0.212,61,0.344186047,0,HEAVY
1018,Freddie Patek,RIGHT,65,148,0.242,41,0.439189189,2,LEAN
1019,Ken Hubbs,RIGHT,74,175,0.247,14,0.422857143,1,MODERATE
1020,Pepe Mangual,RIGHT,70,157,0.242,16,0.445859873,2,LEAN
1021,Leron Lee,LEFT,72,196,0.25,31,0.367346939,0,HEAVY
1022,Tom McCarthy,RIGHT,72,180,0,0,0.4,1,MODERATE
1023,Steve Ontiveros,BOTH,72,185,0.274,24,0.389189189,1,MODERATE
1024,Willie Davis,LEFT,74,180,0.279,182,0.411111111,1,MODERATE
1025,Tom Lawless,RIGHT,71,170,0.207,2,0.417647059,1,MODERATE
1026,Jerry Moses,RIGHT,75,210,0.251,25,0.357142857,0,HEAVY
1027,Bobby Bonds,RIGHT,73,190,0.268,332,0.384210526,1,MODERATE
1028,Dave McNally,RIGHT,71,185,0.133,9,0.383783784,1,MODERATE
1029,Darrell Brown,BOTH,72,184,0.274,1,0.391304348,1,MODERATE
1030,Roy Foster,RIGHT,72,185,0.253,45,0.389189189,1,MODERATE
1031,Denis Menke,RIGHT,72,185,0.25,101,0.389189189,1,MODERATE
1032,Hal Breeden,RIGHT,74,200,0.243,21,0.37,0,HEAVY
1033,Manny Trillo,RIGHT,73,150,0.263,61,0.486666667,2,LEAN
1034,Jackie Gutierrez,RIGHT,71,175,0.237,4,0.405714286,1,MODERATE
1035,Jerry Kenney,LEFT,73,170,0.237,7,0.429411765,1,MODERATE
1036,Fred Kendall,RIGHT,73,185,0.234,31,0.394594595,1,MODERATE
1037,Mike Anderson,RIGHT,74,200,0.246,28,0.37,0,HEAVY
1038,Jim Lewis,RIGHT,75,190,0,0,0.394736842,1,MODERATE
1039,Joe Charboneau,RIGHT,74,205,0.266,29,0.36097561,0,HEAVY
1040,Jimmie Schaffer,RIGHT,69,170,0.223,11,0.405882353,1,MODERATE
1041,Junior Kennedy,RIGHT,71,175,0.248,4,0.405714286,1,MODERATE
1042,Wilbur Howard,BOTH,74,170,0.25,6,0.435294118,1,MODERATE
1043,Rod Gilbreath,RIGHT,74,180,0.248,14,0.411111111,1,MODERATE
1044,Mark Brouhard,RIGHT,73,210,0.259,25,0.347619048,0,HEAVY
1045,Dan Morogiello,LEFT,73,200,0,0,0.365,0,HEAVY
1046,Mike Young,BOTH,74,195,0.247,72,0.379487179,1,MODERATE
1047,Chris Speier,RIGHT,73,175,0.246,112,0.417142857,1,MODERATE
1048,Gene Michael,BOTH,74,183,0.229,15,0.404371585,1,MODERATE
1049,Vic Harris,BOTH,71,165,0.217,13,0.43030303,1,MODERATE
1050,Mike Fischlin,RIGHT,73,165,0.22,3,0.442424242,2,LEAN
1051,Don Money,RIGHT,73,170,0.261,176,0.429411765,1,MODERATE
1052,Joe Rudi,RIGHT,74,200,0.264,179,0.37,0,HEAVY
1053,Jim Rice,RIGHT,74,200,0.298,382,0.37,0,HEAVY
1054,Shawn Holman,RIGHT,74,185,0,0,0.4,1,MODERATE
1055,Alan Wirth,RIGHT,76,190,0,0,0.4,1,MODERATE
1056,Gil Garrido,RIGHT,69,150,0.237,1,0.46,2,LEAN
1057,Marty Perez,RIGHT,71,160,0.246,22,0.44375,2,LEAN
1058,Tom Matchick,LEFT,73,173,0.215,4,0.421965318,1,MODERATE
1059,Jack Perconte,LEFT,70,160,0.27,2,0.4375,2,LEAN
1060,Ed Kirkpatrick,LEFT,71,195,0.238,85,0.364102564,0,HEAVY
1061,Jerry Grote,RIGHT,70,185,0.252,39,0.378378378,0,HEAVY
1062,Ellie Hendricks,LEFT,73,175,0.22,62,0.417142857,1,MODERATE
1063,Jim Beauchamp,RIGHT,74,190,0.231,14,0.389473684,1,MODERATE
1064,Terry Wilshusen,RIGHT,74,210,0,0,0.352380952,0,HEAVY
1065,Tito Fuentes,BOTH,71,175,0.268,45,0.405714286,1,MODERATE
1066,Ron Brand,RIGHT,67,167,0.239,3,0.401197605,1,MODERATE
1067,Leo Cardenas,RIGHT,71,150,0.257,118,0.473333333,2,LEAN
1068,Art Shamsky,LEFT,73,168,0.253,68,0.43452381,1,MODERATE
1069,Steve Ellsworth,RIGHT,80,220,0,0,0.363636364,0,HEAVY
1070,Ron Cey,RIGHT,70,185,0.261,316,0.378378378,0,HEAVY
1071,Skip Jutze,RIGHT,71,190,0.215,3,0.373684211,0,HEAVY
1072,Butch Wynegar,BOTH,73,190,0.255,65,0.384210526,1,MODERATE
