sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
165,Pat Underwood,LEFT,72,175,0,0,0.411428571,1,MODERATE
166,Mike Phillips,LEFT,72,170,0.24,11,0.423529412,1,MODERATE
167,Ron Santo,RIGHT,72,190,0.277,342,0.378947368,0,HEAVY
168,Jay Johnstone,LEFT,73,175,0.267,102,0.417142857,1,MODERATE
169,Jim Ray Hart,RIGHT,71,185,0.278,170,0.383783784,1,MODERATE
170,Marc Hill,RIGHT,75,205,0.223,34,0.365853659,0,HEAVY
171,Joel McKeon,LEFT,72,185,0,0,0.389189189,1,MODERATE
172,Danny Fife,RIGHT,75,175,0,0,0.428571429,1,MODERATE
173,Chico Salmon,RIGHT,70,160,0.249,31,0.4375,2,LEAN
174,Joe Niekro,RIGHT,73,185,0.156,1,0.394594595,1,MODERATE
175,Andy Etchebarren,RIGHT,73,190,0.235,49,0.384210526,1,MODERATE
176,Ken Berry,RIGHT,72,175,0.255,58,0.411428571,1,MODERATE
177,Dave Concepcion,RIGHT,74,155,0.267,101,0.477419355,2,LEAN
178,Junior Moore,RIGHT,71,185,0.264,7,0.383783784,1,MODERATE
179,Mike Richardt,RIGHT,72,170,0.226,4,0.423529412,1,MODERATE
180,Chris Brown,RIGHT,72,185,0.269,38,0.389189189,1,MODERATE
181,Al Bumbry,LEFT,68,170,0.281,54,0.4,1,MODERATE
182,Al Downing,RIGHT,71,175,0.127,2,0.405714286,1,MODERATE
183,Bob Didier,BOTH,72,190,0.229,0,0.378947368,0,HEAVY
184,Jake Gibbs,LEFT,72,180,0.233,25,0.4,1,MODERATE
185,Garry Hancock,LEFT,72,175,0.247,12,0.411428571,1,MODERATE
186,Ed Kranepool,LEFT,75,205,0.261,118,0.365853659,0,HEAVY
187,Rick Rhoden,RIGHT,75,195,0.238,9,0.384615385,1,MODERATE
188,Denny McLain,RIGHT,73,185,0.133,1,0.394594595,1,MODERATE
189,Chuck Hiller,LEFT,71,170,0.243,20,0.417647059,1,MODERATE
190,Jorge Orta,LEFT,70,170,0.278,130,0.411764706,1,MODERATE
191,Dave Cash,RIGHT,71,170,0.283,21,0.417647059,1,MODERATE
192,Bucky Dent,RIGHT,69,170,0.247,40,0.405882353,1,MODERATE
193,Andy Beene,RIGHT,75,205,0,0,0.365853659,0,HEAVY
194,Bruce Robbins,LEFT,73,190,0,0,0.384210526,1,MODERATE
195,Tony Gonzalez,LEFT,69,170,0.286,103,0.405882353,1,MODERATE
196,Leon Hooten,RIGHT,71,180,0,0,0.394444444,1,MODERATE
197,Larry Haney,RIGHT,74,195,0.215,12,0.379487179,1,MODERATE
198,Billy Conigliaro,RIGHT,72,180,0.256,40,0.4,1,MODERATE
199,Gary Roenicke,RIGHT,75,205,0.247,121,0.365853659,0,HEAVY
200,Don Lock,RIGHT,74,195,0.238,122,0.379487179,1,MODERATE
201,Billy Cowan,RIGHT,72,170,0.236,40,0.423529412,1,MODERATE
202,Billy Smith,BOTH,74,185,0.23,17,0.4,1,MODERATE
203,Allan Ramirez,RIGHT,70,180,0,0,0.388888889,1,MODERATE
204,Tony Perez,RIGHT,74,175,0.279,379,0.422857143,1,MODERATE
205,Chuck Schilling,RIGHT,70,160,0.239,23,0.4375,2,LEAN
206,Hal McRae,RIGHT,71,180,0.29,191,0.394444444,1,MODERATE
207,Dave Roberts,RIGHT,75,215,0.239,49,0.348837209,0,HEAVY
208,Brian Allard,RIGHT,73,175,0,0,0.417142857,1,MODERATE
209,Jim Lefebvre,BOTH,72,180,0.251,74,0.4,1,MODERATE
210,Fernando Arroyo,RIGHT,74,180,0,0,0.411111111,1,MODERATE
211,Gary Beare,RIGHT,76,205,0,0,0.370731707,0,HEAVY
212,Charlie Spikes,RIGHT,75,215,0.246,65,0.348837209,0,HEAVY
213,Brian Dubois,LEFT,70,165,0,0,0.424242424,1,MODERATE
214,Steve Whitaker,LEFT,72,180,0.23,24,0.4,1,MODERATE
215,Manny Jimenez,LEFT,73,185,0.272,26,0.394594595,1,MODERATE
216,Chris Batton,RIGHT,76,195,0,0,0.38974359,1,MODERATE
217,Duffy Dyer,RIGHT,72,187,0.221,30,0.385026738,1,MODERATE
218,Ken Henderson,BOTH,74,180,0.257,122,0.411111111,1,MODERATE
219,Vance Lovelace,LEFT,77,205,0,0,0.375609756,0,HEAVY
220,Greg Thayer,RIGHT,71,182,0,0,0.39010989,1,MODERATE
221,Vern Fuller,RIGHT,73,170,0.232,14,0.429411765,1,MODERATE
222,Paul Hartzell,RIGHT,77,200,0,0,0.385,1,MODERATE
223,Wayne Gross,LEFT,74,210,0.233,121,0.352380952,0,HEAVY
224,Mike Champion,RIGHT,72,185,0.229,2,0.389189189,1,MODERATE
225,Ralph Botting,LEFT,72,195,0,0,0.369230769,0,HEAVY
226,Paul Casanova,RIGHT,76,180,0.225,50,0.422222222,1,MODERATE
227,Steve Rogers,RIGHT,74,175,0.138,0,0.422857143,1,MODERATE
228,Keith Creel,RIGHT,74,180,0,0,0.411111111,1,MODERATE
229,Terry Crowley,LEFT,72,180,0.25,42,0.4,1,MODERATE
230,Horace Clarke,BOTH,69,170,0.256,27,0.405882353,1,MODERATE
231,Lou Clinton,RIGHT,73,185,0.247,65,0.394594595,1,MODERATE
232,Larry Cox,RIGHT,70,178,0.221,12,0.393258427,1,MODERATE
233,Nate Colbert,RIGHT,74,190,0.243,173,0.389473684,1,MODERATE
234,Phil Roof,RIGHT,74,190,0.215,43,0.389473684,1,MODERATE
235,Chuck Hinton,RIGHT,73,180,0.264,113,0.405555556,1,MODERATE
236,Tim Cullen,RIGHT,73,185,0.22,9,0.394594595,1,MODERATE
237,Tim Harkness,LEFT,74,182,0.235,14,0.406593407,1,MODERATE
238,Rick Bosetti,RIGHT,71,185,0.25,17,0.383783784,1,MODERATE
239,Ron Pruitt,RIGHT,72,185,0.269,12,0.389189189,1,MODERATE
240,George Foster,RIGHT,73,180,0.274,348,0.405555556,1,MODERATE
241,Jerry White,BOTH,70,164,0.253,21,0.426829268,1,MODERATE
242,Angel Mangual,RIGHT,70,178,0.245,22,0.393258427,1,MODERATE
243,Ken Gerhart,RIGHT,72,190,0.221,24,0.378947368,0,HEAVY
244,Mike Hershberger,RIGHT,70,175,0.252,26,0.4,1,MODERATE
245,Jim French,LEFT,68,180,0.196,5,0.377777778,0,HEAVY
246,Dave Roberts,LEFT,75,195,0.194,7,0.384615385,1,MODERATE
247,Jim Mason,LEFT,74,185,0.203,12,0.4,1,MODERATE
248,Mike Smith,RIGHT,75,180,0,0,0.416666667,1,MODERATE
249,Willie Smith,LEFT,72,182,0.248,46,0.395604396,1,MODERATE
250,T.R. Bryden,RIGHT,76,190,0,0,0.4,1,MODERATE
251,Jose Arcia,RIGHT,75,170,0.215,1,0.441176471,2,LEAN
252,Leon Durham,LEFT,73,185,0.277,147,0.394594595,1,MODERATE
253,Tom Makowski,RIGHT,71,185,0,0,0.383783784,1,MODERATE
254,Paul Householder,BOTH,72,180,0.236,29,0.4,1,MODERATE
255,Aurelio Rodriguez,RIGHT,70,180,0.237,124,0.388888889,1,MODERATE
256,Jimmy Stewart,BOTH,72,165,0.237,8,0.436363636,2,LEAN
257,Dick Phillips,LEFT,72,180,0.229,12,0.4,1,MODERATE
258,Andres Thomas,RIGHT,73,170,0.234,42,0.429411765,1,MODERATE
259,Ed Crosby,LEFT,74,175,0.22,0,0.422857143,1,MODERATE
260,Mike de la Hoz,RIGHT,71,175,0.251,25,0.405714286,1,MODERATE
261,Frank Taveras,RIGHT,72,155,0.255,2,0.464516129,2,LEAN
262,Joe Nossek,RIGHT,72,178,0.228,3,0.404494382,1,MODERATE
263,Larry Stahl,LEFT,72,175,0.232,36,0.411428571,1,MODERATE
264,Jose Cruz,LEFT,72,170,0.284,165,0.423529412,1,MODERATE
265,Don Mason,LEFT,71,160,0.205,3,0.44375,2,LEAN
266,Bill Robinson,RIGHT,74,189,0.258,166,0.391534392,1,MODERATE
267,Jim Umbarger,LEFT,78,200,0,0,0.39,1,MODERATE
268,Sal Bando,RIGHT,72,195,0.254,242,0.369230769,0,HEAVY
269,George Mitterwald,RIGHT,74,195,0.236,76,0.379487179,1,MODERATE
270,Mike Darr,RIGHT,76,190,0,0,0.4,1,MODERATE
271,Craig Robinson,RIGHT,70,165,0.219,0,0.424242424,1,MODERATE
272,Bob Tillman,RIGHT,76,205,0.232,79,0.370731707,0,HEAVY
273,Curt Wardle,LEFT,77,220,0,0,0.35,0,HEAVY
274,Pat Corrales,RIGHT,72,180,0.216,4,0.4,1,MODERATE
275,Mike Tyson,RIGHT,69,170,0.241,27,0.405882353,1,MODERATE
276,Rafael Landestoy,BOTH,70,165,0.237,4,0.424242424,1,MODERATE
277,Duane Josephson,RIGHT,72,190,0.258,23,0.378947368,0,HEAVY
278,Duane Walker,LEFT,72,185,0.229,24,0.389189189,1,MODERATE
279,Glenn Hubbard,RIGHT,69,150,0.244,70,0.46,2,LEAN
280,Roger Freed,RIGHT,72,190,0.245,22,0.378947368,0,HEAVY
281,George Hendrick,RIGHT,75,195,0.278,267,0.384615385,1,MODERATE
282,Rod Carew,LEFT,72,170,0.328,92,0.423529412,1,MODERATE
283,Bob Davis,RIGHT,72,180,0.197,6,0.4,1,MODERATE
284,Toby Harrah,RIGHT,72,175,0.264,195,0.411428571,1,MODERATE
285,Rick Manning,LEFT,73,180,0.257,56,0.405555556,1,MODERATE
286,Israel Sanchez,LEFT,69,170,0,0,0.405882353,1,MODERATE
287,Steve Burke,BOTH,74,200,0,0,0.37,0,HEAVY
288,Gary Matthews,RIGHT,74,185,0.281,234,0.4,1,MODERATE
289,Cesar Geronimo,LEFT,72,165,0.258,51,0.436363636,2,LEAN
290,Billy Bryan,LEFT,76,200,0.216,41,0.38,1,MODERATE
291,Terry Taylor,RIGHT,73,180,0,0,0.405555556,1,MODERATE
292,Terry Whitfield,LEFT,73,197,0.281,33,0.370558376,0,HEAVY
293,Mario Mendoza,RIGHT,71,170,0.215,4,0.417647059,1,MODERATE
294,Fred Lynn,LEFT,73,185,0.283,306,0.394594595,1,MODERATE
